,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,san carlos de bariloche,20.0,AR,1569255540.0,32.0,-41.13,-71.31,55.4,8.05
1,avarua,100.0,CK,1569255538.0,88.0,-21.21,-159.78,66.2,3.36
2,mahebourg,40.0,MU,1569255541.0,73.0,-20.41,57.7,71.6,12.75
3,rikitea,100.0,PF,1569255541.0,75.0,-23.12,-134.97,68.26,15.99
4,saskylakh,90.0,RU,1569255542.0,86.0,71.97,114.09,30.82,5.03
5,port elizabeth,1.0,US,1569255542.0,58.0,39.31,-74.98,87.01,8.05
6,dubovskoye,100.0,RU,1569255542.0,65.0,47.41,42.76,49.36,1.74
7,yellowknife,75.0,CA,1569255424.0,75.0,62.45,-114.38,44.6,16.11
8,mataura,52.0,NZ,1569255542.0,84.0,-46.19,168.86,43.0,4.0
9,kasangulu,20.0,CD,1569255543.0,46.0,-4.59,15.17,93.2,6.93
10,ushuaia,75.0,AR,1569255543.0,87.0,-54.81,-68.31,46.4,9.17
11,stephenville,75.0,CA,1569255543.0,93.0,48.55,-58.59,55.99,17.22
12,hambantota,75.0,LK,1569255543.0,100.0,6.12,81.12,77.0,6.93
13,arraial do cabo,20.0,BR,1569255543.0,50.0,-22.97,-42.02,75.2,5.82
14,ankazoabo,4.0,MG,1569255543.0,27.0,-22.29,44.51,82.66,5.1
15,cabo san lucas,5.0,MX,1569255531.0,94.0,22.89,-109.91,84.99,2.24
16,port alfred,17.0,ZA,1569255544.0,76.0,-33.59,26.89,61.0,1.99
17,tiksi,100.0,RU,1569255544.0,96.0,71.64,128.87,36.76,4.79
18,kagadi,18.0,UG,1569255544.0,60.0,0.95,30.8,79.78,2.17
19,namatanai,100.0,PG,1569255544.0,80.0,-3.66,152.44,78.34,7.47
20,san juan,83.0,AR,1569255544.0,30.0,-31.54,-68.53,57.46,8.08
21,new norfolk,40.0,AU,1569255545.0,57.0,-42.78,147.06,50.0,16.11
22,albany,75.0,US,1569255495.0,54.0,42.65,-73.75,86.0,5.82
23,nishihara,20.0,JP,1569255545.0,74.0,35.74,139.53,84.0,23.04
24,kibungo,40.0,RW,1569255545.0,60.0,-2.14,30.55,73.4,9.17
25,nikolskoye,75.0,RU,1569255545.0,56.0,59.7,30.79,45.0,13.42
26,smyshlyayevka,64.0,RU,1569255546.0,85.0,53.75,47.73,35.86,11.25
27,rawson,31.0,AR,1569255546.0,31.0,-43.3,-65.11,64.12,21.18
28,clyde river,75.0,CA,1569255546.0,77.0,70.47,-68.59,32.0,6.93
29,thompson,40.0,CA,1569255268.0,77.0,55.74,-97.86,59.0,8.05
30,ponta delgada,40.0,PT,1569255547.0,88.0,37.73,-25.67,75.2,12.75
31,busselton,100.0,AU,1569255547.0,57.0,-33.64,115.35,53.01,10.49
32,atuona,70.0,PF,1569255547.0,80.0,-9.8,-139.03,78.7,19.6
33,ola,100.0,RU,1569255547.0,89.0,59.58,151.3,44.86,6.64
34,suntar,58.0,RU,1569255547.0,88.0,62.16,117.65,33.16,4.41
35,kapaa,75.0,US,1569255547.0,94.0,22.08,-159.32,78.8,3.36
36,muros,75.0,ES,1569255548.0,93.0,42.77,-9.06,68.0,18.34
37,torbay,90.0,CA,1569255548.0,77.0,47.66,-52.73,64.99,35.57
38,nanortalik,1.0,GL,1569255548.0,76.0,60.14,-45.24,40.9,2.91
39,starkville,75.0,US,1569255548.0,58.0,33.45,-88.82,87.01,4.7
40,punta arenas,75.0,CL,1569255548.0,66.0,-53.16,-70.91,51.8,12.75
41,yulara,90.0,AU,1569255549.0,36.0,-25.24,130.99,60.8,9.17
42,nagorsk,37.0,RU,1569255549.0,95.0,59.32,50.8,30.46,5.79
43,tuktoyaktuk,90.0,CA,1569255549.0,93.0,69.44,-133.03,37.4,6.93
44,nuuk,75.0,GL,1569255549.0,93.0,64.17,-51.74,39.2,6.93
45,dikson,100.0,RU,1569255549.0,84.0,73.51,80.55,35.5,21.45
46,pangnirtung,20.0,CA,1569255550.0,65.0,66.15,-65.72,39.2,3.36
47,lorengau,4.0,PG,1569255550.0,87.0,-2.02,147.27,78.88,7.83
48,litovko,32.0,RU,1569255550.0,65.0,49.24,135.18,49.9,14.72
49,mehamn,75.0,NO,1569255550.0,86.0,71.03,27.85,41.0,12.75
50,hobart,40.0,AU,1569255367.0,57.0,-42.88,147.33,50.0,16.11
51,esperance,100.0,AU,1569255551.0,87.0,-33.86,121.89,50.0,10.29
52,lasa,20.0,CY,1569255551.0,73.0,34.92,32.53,78.8,12.75
53,remedios,53.0,CO,1569255551.0,60.0,7.03,-74.7,78.34,2.77
54,hithadhoo,100.0,MV,1569255551.0,73.0,-0.6,73.08,81.22,4.5
55,mar del plata,2.0,AR,1569255551.0,42.0,-46.43,-67.52,59.8,19.3
56,qaqortoq,75.0,GL,1569255552.0,65.0,60.72,-46.03,46.4,6.93
57,nortelandia,17.0,BR,1569255552.0,30.0,-14.45,-56.8,100.84,4.18
58,cayenne,20.0,GF,1569255552.0,52.0,4.94,-52.33,91.4,3.36
59,muroto,98.0,JP,1569255552.0,89.0,33.37,134.14,69.52,2.89
60,hirara,90.0,JP,1569255553.0,79.0,24.8,125.28,77.98,18.23
61,kavieng,67.0,PG,1569255553.0,74.0,-2.57,150.8,82.48,8.21
62,mount gambier,75.0,AU,1569255553.0,100.0,-37.83,140.78,42.8,8.05
63,puerto ayora,82.0,EC,1569255553.0,88.0,-0.74,-90.35,69.01,7.0
64,salinas,90.0,US,1569255553.0,93.0,36.67,-121.66,64.99,5.82
65,san cristobal,1.0,HN,1569255553.0,69.0,14.68,-86.92,79.6,1.5
66,vaini,33.0,IN,1569255554.0,87.0,15.34,74.49,76.72,2.46
67,olkhovka,16.0,RU,1569255554.0,72.0,53.21,60.61,39.1,20.49
68,deputatskiy,90.0,RU,1569255554.0,98.0,69.3,139.9,27.58,1.83
69,freeport,40.0,BS,1569255554.0,74.0,26.54,-78.7,82.4,23.04
70,north bend,40.0,US,1569255554.0,100.0,43.41,-124.22,59.0,5.82
71,novosemeykino,40.0,RU,1569255555.0,93.0,53.37,50.35,35.6,13.42
72,souillac,90.0,FR,1569255555.0,72.0,45.6,-0.6,72.0,5.82
73,srednekolymsk,52.0,RU,1569255555.0,78.0,67.46,153.71,26.32,4.74
74,hilo,90.0,US,1569255555.0,88.0,19.71,-155.08,75.2,5.82
75,puerto escondido,40.0,MX,1569255555.0,69.0,15.86,-97.07,78.8,2.98
76,castro,90.0,CL,1569255556.0,87.0,-42.48,-73.76,48.2,6.93
77,husavik,10.0,CA,1569255556.0,58.0,50.56,-96.99,64.0,3.0
78,north vanlaiphai,99.0,IN,1569255556.0,97.0,23.13,93.07,68.26,1.9
